id;matchDay;date;time;clubIdHome;clubIdGuest;goalsHome;goalsGuest
438;15;02.12.2023;19:30;28;21;4;1
439;15;03.12.2023;12:30;30;24;5;1
440;15;03.12.2023;12:30;32;23;1;0
441;15;03.12.2023;12:30;26;33;2;2
442;16;08.12.2023;17:30;23;26;2;2
443;16;08.12.2023;17:30;27;35;1;3
444;16;09.12.2023;12:00;19;32;1;2
445;16;09.12.2023;12:00;21;30;1;2
446;16;09.12.2023;12:00;31;28;1;1
447;16;09.12.2023;19:30;25;22;1;1
448;16;10.12.2023;12:30;29;36;0;1
449;16;10.12.2023;12:30;33;20;0;2
450;16;10.12.2023;12:30;24;34;0;1
451;17;15.12.2023;17:30;20;31;2;2
452;17;15.12.2023;17:30;32;33;3;0
453;17;16.12.2023;12:00;30;25;0;0
454;17;16.12.2023;12:00;28;29;2;3
455;17;16.12.2023;12:00;34;19;0;2
456;17;16.12.2023;19:30;36;23;3;0
457;17;17.12.2023;12:30;22;27;1;1
458;17;17.12.2023;12:30;26;24;3;2
459;17;17.12.2023;12:30;35;21;2;1
460;18;19.01.2024;17:30;26;25;2;1
461;18;19.01.2024;17:30;36;35;1;2
462;18;20.01.2024;12:00;22;21;2;0
463;18;20.01.2024;12:00;34;33;3;0
464;18;20.01.2024;12:00;24;23;2;2
465;18;20.01.2024;19:30;20;19;0;2
466;18;21.01.2024;12:30;30;29;2;2
467;18;21.01.2024;12:30;32;31;0;1
468;18;21.01.2024;12:30;28;27;1;0
469;19;26.01.2024;17:30;21;20;4;1
470;19;26.01.2024;17:30;23;34;3;0
471;19;27.01.2024;12:00;33;24;2;1
472;19;27.01.2024;12:00;25;32;0;0
473;19;27.01.2024;12:00;27;30;3;1
474;19;27.01.2024;19:30;29;22;1;2
475;19;28.01.2024;12:30;19;26;3;4
476;19;28.01.2024;12:30;31;36;2;1
477;19;28.01.2024;12:30;35;28;1;0
478;20;02.02.2024;17:30;26;27;2;2
479;20;02.02.2024;17:30;28;36;1;1
480;20;03.02.2024;12:00;20;35;1;0
481;20;03.02.2024;12:00;22;31;3;2
482;20;03.02.2024;12:00;34;25;2;2
483;20;03.02.2024;19:30;30;19;1;2
484;20;04.02.2024;12:30;32;29;4;3
485;20;04.02.2024;12:30;23;33;2;1
486;20;04.02.2024;12:30;24;21;2;1
487;21;09.02.2024;17:30;19;23;3;4
488;21;09.02.2024;17:30;27;34;1;1
489;21;10.02.2024;12:00;29;24;1;1
490;21;10.02.2024;12:00;28;22;1;0
491;21;10.02.2024;12:00;35;26;2;0
492;21;10.02.2024;19:30;21;32;1;2
493;21;11.02.2024;12:30;36;20;1;0
494;21;11.02.2024;12:30;31;30;1;2
495;21;11.02.2024;12:30;25;33;0;0
496;22;16.02.2024;17:30;30;28;3;2
497;22;16.02.2024;17:30;23;31;2;1
498;22;17.02.2024;12:00;20;27;1;0
499;22;17.02.2024;12:00;32;36;0;4
500;22;17.02.2024;12:00;33;19;2;2
501;22;17.02.2024;19:30;26;29;2;2
502;22;18.02.2024;12:30;22;35;1;0
503;22;18.02.2024;12:30;34;21;1;1
504;22;18.02.2024;12:30;24;25;3;1
505;23;23.02.2024;17:30;36;22;3;4
506;23;23.02.2024;17:30;27;32;1;2
507;23;24.02.2024;12:00;21;26;0;4
508;23;24.02.2024;12:00;35;30;1;1
509;23;24.02.2024;12:00;25;23;1;0
510;23;24.02.2024;19:30;28;20;3;0
511;23;25.02.2024;12:30;19;24;1;0
512;23;25.02.2024;12:30;29;33;2;0
513;23;25.02.2024;12:30;31;34;2;1
514;24;01.03.2024;17:30;20;22;3;1
515;24;01.03.2024;17:30;30;36;2;2
516;24;02.03.2024;12:00;23;29;2;2
517;24;02.03.2024;12:00;33;21;0;3
518;24;02.03.2024;12:00;34;35;2;1
519;24;02.03.2024;19:30;26;31;4;0
520;24;03.03.2024;12:30;19;25;1;2
521;24;03.03.2024;12:30;32;28;0;0
522;24;03.03.2024;12:30;24;27;0;3
523;25;08.03.2024;17:30;29;19;2;0
524;25;08.03.2024;17:30;35;33;0;1
525;25;09.03.2024;12:00;20;32;3;3
526;25;09.03.2024;12:00;36;26;1;0
527;25;09.03.2024;12:00;27;23;1;1
528;25;09.03.2024;19:30;28;34;0;1
529;25;10.03.2024;12:30;22;30;2;0
530;25;10.03.2024;12:30;21;25;3;2
531;25;10.03.2024;12:30;31;24;1;4
532;26;15.03.2024;17:30;32;35;1;2
533;26;15.03.2024;17:30;25;29;0;4
534;26;16.03.2024;12:00;33;31;1;0
535;26;16.03.2024;12:00;34;22;0;2
536;26;16.03.2024;12:00;24;36;0;2
537;26;16.03.2024;19:30;23;21;1;1
538;26;17.03.2024;12:30;30;20;5;2
539;26;17.03.2024;12:30;19;27;3;0
540;26;17.03.2024;12:30;26;28;7;0
541;27;30.03.2024;12:00;36;33;2;0
542;27;30.03.2024;12:00;21;29;1;3
543;27;30.03.2024;12:00;35;24;5;0
544;27;30.03.2024;19:30;30;34;3;3
545;27;31.03.2024;11:30;20;26;0;0
546;27;31.03.2024;11:30;22;32;2;1
547;27;31.03.2024;11:30;28;23;0;3
548;27;31.03.2024;11:30;31;19;1;1
549;27;31.03.2024;11:30;27;25;0;1
550;28;05.04.2024;16:30;32;30;2;3
551;28;05.04.2024;16:30;33;27;3;1
552;28;06.04.2024;11:00;19;21;2;1
553;28;06.04.2024;11:00;34;36;0;4
554;28;06.04.2024;11:00;24;28;0;0
555;28;06.04.2024;18:30;26;22;2;1
556;28;07.04.2024;11:30;29;35;2;0
557;28;07.04.2024;11:30;23;20;1;1
558;28;07.04.2024;11:30;25;31;2;0
559;29;12.04.2024;16:30;30;33;4;0
560;29;12.04.2024;16:30;31;21;2;1
561;29;13.04.2024;11:00;32;26;1;1
562;29;13.04.2024;11:00;36;25;4;0
563;29;13.04.2024;11:00;27;29;0;2
564;29;13.04.2024;18:30;20;34;2;0
565;29;14.04.2024;11:30;22;24;3;4
566;29;14.04.2024;11:30;28;19;2;2
567;29;14.04.2024;11:30;35;23;0;0
568;30;19.04.2024;16:30;34;32;0;2
569;30;19.04.2024;16:30;24;20;1;1
570;30;20.04.2024;11:00;29;31;1;0
571;30;20.04.2024;11:00;21;27;1;1
572;30;20.04.2024;11:00;25;35;0;3
573;30;20.04.2024;18:30;19;36;0;1
574;30;21.04.2024;11:30;26;30;3;2
575;30;21.04.2024;11:30;23;22;1;2
576;30;21.04.2024;11:30;33;28;0;2
577;31;26.04.2024;16:30;30;23;1;1
578;31;26.04.2024;16:30;22;33;1;0
579;31;27.04.2024;11:00;32;24;3;1
580;31;27.04.2024;11:00;36;21;1;3
581;31;27.04.2024;11:00;35;19;0;4
582;31;27.04.2024;18:30;20;29;1;1
583;31;28.04.2024;11:30;28;25;1;1
584;31;28.04.2024;11:30;34;26;0;1
585;31;28.04.2024;11:30;27;31;3;5
586;32;03.05.2024;16:30;19;22;1;0
587;32;03.05.2024;16:30;29;34;3;1
588;32;04.05.2024;11:00;31;35;3;3
589;32;04.05.2024;11:00;33;26;1;2
590;32;04.05.2024;18:30;21;28;4;1
591;32;05.05.2024;11:30;23;32;3;2
592;32;05.05.2024;11:30;24;30;4;2
593;32;05.05.2024;11:30;27;36;0;1
594;32;07.05.2024;16:30;25;20;0;4
595;33;10.05.2024;16:30;32;19;1;0
596;33;10.05.2024;16:30;28;31;0;0
597;33;11.05.2024;11:00;20;33;2;1
598;33;11.05.2024;11:00;30;21;3;1
599;33;11.05.2024;11:00;34;24;3;0
600;33;11.05.2024;18:30;36;29;1;1
